reputation,answers
741001,"[[2, 6, 410], [2, 0, 293], [3, 0, 441], [1, 8, 317], [4, 0, 332], [0, 2, 1031], [2, 0, 878], [2, 0, 1271], [3, 2, 455], [2, 7, 823], [3, 0, 1362], [0, 1, 832], [3, 1, 1097], [3, 1, 1188]]"
713366,"[[2, 0, 13892], [1, 3, 14942], [0, 0, 1799], [0, 0, 1209], [2, 0, 1009], [0, 0, 3479], [1, 0, 2272], [1, 0, 2018], [1, 0, 7395], [2, 0, 1032], [0, 0, 726], [1, 1, 1797], [0, 0, 6140], [2, 0, 964], [1, 2, 8771], [0, 3, 2998]]"
705685,"[[1, 0, 208]]"
682749,"[[1, 2, 592], [1, 2, 1414], [1, 2, 2319], [0, 0, 3025], [4, 0, 2019], [2, 0, 1940], [1, 0, 1309], [1, 0, 2849]]"
660505,"[[3, 0, 2266], [0, 0, 863], [1, 0, 1450], [0, 2, 1372], [1, 0, 3288], [1, 0, 1229], [0, 0, 2018], [1, 2, 930], [1, 0, 801], [1, 0, 738], [0, 1, 1553], [0, 0, 1337], [0, 0, 345], [0, 0, 1532], [0, 2, 985], [0, 6, 2005], [1, 4, 3850], [0, 0, 1051], [0, 2, 586]]"
600003,"[[1, 1, 545], [0, 9, 606], [1, 2, 832], [0, 0, 808], [1, 0, 675], [2, 0, 1101], [1, 1, 566], [0, 0, 648], [0, 0, 220], [0, 4, 735], [0, 0, 449], [2, 0, 391], [2, 0, 1554], [2, 12, 2153], [3, 3, 500], [1, 0, 1927], [0, 0, 1244], [1, 4, 859], [1, 0, 381], [3, 1, 1052], [0, 0, 770], [3, 0, 836], [0, 0, 771], [1, 0, 547], [1, 1, 4242], [1, 2, 990]]"
588911,"[[0, 1, 870], [1, 0, 800], [2, 1, 418], [1, 7, 531], [0, 1, 1302], [1, 1, 873], [1, 0, 1008], [1, 6, 1176], [1, 0, 2373], [1, 3, 974], [1, 0, 1182], [1, 0, 1430], [0, 0, 2000], [1, 0, 622], [2, 0, 1226], [0, 0, 1104], [1, 0, 822], [1, 0, 1382], [2, 0, 1716], [1, 1, 589], [1, 0, 543], [1, 0, 1019], [1, 0, 574], [2, 0, 1362], [0, 0, 664], [1, 0, 571], [2, 1, 773], [1, 10, 1712], [0, 0, 785], [1, 0, 969], [1, 0, 901], [1, 0, 570], [1, 0, 560], [1, 4, 671], [0, 0, 1266], [1, 0, 602], [0, 0, 792], [1, 0, 490], [1, 0, 632], [0, 0, 761], [4, 2, 859], [2, 0, 1712]]"
568095,"[[1, 1, 1992], [1, 0, 464], [0, 0, 2330], [1, 1, 2447], [1, 0, 249], [0, 4, 679], [0, 2, 888], [1, 0, 1443], [2, 0, 2000], [3, 0, 2079], [1, 0, 952], [1, 10, 2233], [1, 0, 1861], [3, 0, 987], [0, 0, 835], [4, 0, 987], [0, 0, 4673], [0, 2, 1211]]"
531706,"[[2, 5, 256], [2, 4, 549], [1, 4, 905], [5, 4, 1473], [0, 0, 477], [2, 1, 785], [1, 0, 1783], [1, 0, 515], [1, 1, 1731], [0, 0, 819], [0, 0, 450], [0, 0, 1390], [1, 0, 545], [0, 0, 1290], [1, 0, 709], [0, 2, 1201], [0, 0, 252], [0, 2, 670], [0, 4, 342], [1, 0, 425], [1, 1, 445], [0, 0, 178], [0, 0, 330], [2, 0, 431], [0, 0, 316], [1, 3, 1591], [3, 0, 1000], [1, 0, 225], [0, 5, 471], [1, 2, 606], [0, 0, 975], [0, 0, 549], [0, 0, 1376], [1, 3, 1323], [0, 1, 579], [0, 2, 765], [0, 2, 1271], [1, 7, 628], [1, 0, 799], [0, 4, 645], [1, 3, 550], [0, 1, 1040], [0, 0, 239], [0, 3, 3731], [1, 0, 700], [0, 0, 402], [1, 0, 439], [1, 0, 756]]"
527986,"[[1, 0, 2329], [1, 0, 1901], [0, 0, 1351], [0, 5, 1360], [3, 4, 2488], [0, 0, 2115], [1, 0, 1165], [3, 0, 365], [3, 0, 829], [3, 0, 639], [0, 0, 729], [2, 1, 900], [1, 0, 3103], [0, 0, 1153], [5, 0, 1433], [2, 4, 634], [0, 3, 741], [1, 2, 941], [2, 1, 4135], [1, 0, 1003], [2, 2, 2957], [0, 3, 1589], [0, 0, 1226], [3, 1, 1512], [2, 3, 3012], [0, 0, 1878], [0, 2, 873], [0, 0, 766], [2, 4, 1638], [1, 1, 2711], [3, 0, 1848], [1, 0, 1174], [1, 5, 964], [1, 1, 1879], [2, 0, 1702], [1, 0, 1652], [0, 0, 1306]]"
525832,"[[1, 6, 541], [1, 0, 548], [1, 1, 2008], [1, 2, 648], [1, 0, 477], [1, 0, 358], [4, 0, 442], [1, 0, 229], [1, 0, 531], [1, 1, 828], [2, 0, 241], [0, 2, 405], [1, 1, 617], [1, 0, 406], [2, 0, 180], [1, 0, 579], [1, 0, 508], [1, 4, 964], [1, 2, 346], [2, 1, 718], [0, 3, 253], [3, 2, 311], [3, 4, 183], [0, 0, 736], [0, 0, 287], [1, 1, 449], [0, 0, 269], [0, 0, 194], [0, 0, 172], [1, 0, 471], [1, 0, 977], [0, 0, 153], [1, 0, 454], [0, 0, 448]]"
520198,"[[1, 0, 279]]"
518283,"[[1, 1, 586], [0, 0, 777], [0, 0, 1405], [0, 0, 711], [-1, 0, 993], [1, 0, 1396], [-1, 4, 805], [2, 3, 874], [0, 0, 984], [2, 1, 1854], [0, 5, 1455], [0, 3, 1381], [1, 0, 686], [0, 2, 805], [0, 1, 543], [1, 2, 741], [1, 0, 531], [2, 0, 1928], [0, 1, 566], [0, 0, 1077], [0, 0, 1472], [0, 5, 1041], [0, 0, 773], [0, 4, 732]]"
517212,"[[3, 0, 639], [0, 3, 352], [1, 0, 900], [0, 0, 1337], [0, 0, 895]]"
500294,"[[4, 2, 828], [0, 2, 229], [1, 0, 1011], [0, 4, 845], [9, 5, 2512], [0, 7, 796], [2, 2, 1548], [4, 0, 1320], [2, 5, 1832], [1, 2, 543], [0, 2, 218], [1, 1, 662], [1, 0, 1064], [2, 1, 4589], [0, 5, 1231], [1, 4, 653], [0, 0, 200], [1, 0, 766], [4, 0, 619], [0, 3, 449], [3, 1, 1421], [0, 2, 464], [4, 0, 1056], [1, 3, 498]]"
500239,"[[2, 0, 820], [1, 0, 2562], [0, 0, 614]]"
480073,"[[2, 0, 504], [2, 0, 502], [0, 6, 464], [0, 0, 638], [2, 0, 655], [0, 1, 403], [2, 0, 514], [0, 0, 512], [0, 2, 390], [0, 3, 622], [1, 5, 466], [1, 3, 206], [4, 0, 532], [0, 0, 612], [0, 0, 301], [0, 0, 372], [0, 0, 303], [1, 0, 189], [0, 3, 743], [-1, 1, 427], [2, 0, 396], [2, 1, 826], [0, 0, 1059], [2, 0, 533], [0, 0, 698], [-2, 0, 438], [0, 1, 592], [0, 2, 358], [0, 1, 350], [1, 0, 283], [1, 0, 268], [0, 0, 735], [0, 0, 240], [1, 0, 499], [0, 0, 444], [0, 0, 294], [0, 3, 265], [0, 0, 593], [1, 3, 808], [2, 0, 456], [2, 0, 217], [1, 3, 274], [2, 2, 547], [3, 6, 538], [1, 0, 453], [1, 2, 331], [0, 0, 237], [0, 1, 351], [0, 0, 446], [0, 2, 383], [3, 1, 344], [3, 2, 761], [1, 0, 310], [2, 5, 595], [1, 0, 177], [0, 0, 679], [1, 3, 291], [1, 2, 213], [0, 6, 524], [0, 2, 366], [0, 2, 279], [1, 0, 677], [1, 0, 654], [1, 0, 320], [2, 2, 218], [1, 1, 264], [1, 4, 967], [0, 0, 273], [1, 0, 488], [0, 0, 188], [1, 0, 680], [1, 3, 264], [2, 1, 473]]"
468703,"[[2, 2, 1061], [1, 1, 1059], [0, 1, 1691], [1, 0, 725], [3, 1, 468], [1, 1, 1085], [1, 0, 2751], [0, 0, 1699], [1, 0, 606], [1, 1, 1136], [3, 4, 463], [1, 0, 705], [2, 0, 2248], [6, 16, 1016], [3, 0, 1651], [0, 0, 769], [0, 0, 621], [0, 0, 627], [3, 5, 257], [1, 0, 657], [1, 3, 952], [4, 4, 1213], [0, 0, 442], [0, 3, 2125], [0, 0, 389], [1, 0, 681], [1, 3, 508], [2, 0, 462], [1, 4, 898], [0, 0, 702], [0, 0, 769], [1, 2, 321], [1, 0, 815], [1, 0, 683], [0, 0, 708], [-1, 3, 678]]"
464169,"[[2, 0, 2497], [1, 0, 2478], [1, 0, 3279], [2, 0, 1884], [0, 0, 1644], [1, 0, 458]]"
439635,"[[2, 0, 580], [1, 5, 1921], [1, 1, 702], [6, 0, 2506], [3, 5, 964], [4, 2, 1403], [5, 5, 222], [0, 0, 369]]"
430565,"[[1, 2, 541], [1, 1, 1494], [3, 0, 1982], [2, 0, 369], [0, 0, 2248], [0, 0, 3095], [5, 6, 1378], [2, 0, 201], [3, 0, 1690], [0, 1, 627], [1, 1, 1836], [5, 1, 952], [0, 0, 1116], [3, 0, 1794], [6, 8, 646], [0, 0, 930], [4, 3, 976], [0, 0, 1396]]"
426937,"[[1, 0, 1306]]"
421117,"[[1, 1, 656], [1, 0, 228], [1, 1, 595], [1, 2, 287], [1, 0, 170], [1, 1, 1091], [0, 0, 1347], [1, 2, 443], [0, 0, 819], [1, 0, 621], [3, 2, 893], [1, 0, 1166], [0, 1, 1316]]"
418489,"[[3, 0, 3408], [2, 0, 2155], [1, 1, 14128], [3, 1, 19282], [2, 0, 17831], [2, 4, 1083], [0, 5, 848], [1, 2, 14337], [1, 0, 11883], [2, 5, 9627], [3, 0, 3794], [0, 0, 4103], [2, 1, 2233], [1, 2, 3897], [1, 0, 1036], [0, 0, 2377], [1, 0, 2037], [0, 0, 2250], [0, 2, 8007], [0, 0, 1483], [1, 0, 1033], [0, 0, 1815], [2, 1, 2918], [1, 0, 1697], [1, 4, 796], [2, 4, 2049]]"
418395,"[[0, 1, 277], [0, 0, 583], [1, 0, 1605], [1, 0, 793], [2, 0, 771], [1, 0, 1193], [2, 3, 1098], [1, 1, 1487], [1, 0, 1277], [0, 0, 1703], [1, 0, 1934], [1, 2, 1129], [4, 3, 659], [1, 0, 522], [1, 7, 616], [1, 0, 337], [2, 0, 1847], [2, 0, 372], [1, 0, 304], [3, 0, 3169], [3, 3, 1464], [1, 1, 422], [1, 3, 869], [0, 0, 1007], [1, 12, 910], [1, 0, 358], [1, 1, 1003], [0, 0, 1076], [2, 0, 657], [1, 1, 1407], [2, 3, 730], [1, 0, 298], [0, 0, 614], [0, 6, 662], [0, 1, 1504], [0, 2, 659], [1, 1, 519], [2, 0, 1562], [1, 5, 485], [0, 0, 162]]"
402239,"[[1, 4, 6652], [0, 0, 2315], [2, 0, 1404], [0, 0, 1520], [0, 0, 515], [3, 2, 2512], [1, 2, 7431], [2, 1, 2513], [1, 2, 2243], [0, 3, 3953]]"
400237,"[[2, 0, 398], [0, 0, 77], [0, 0, 217], [0, 4, 1036], [0, 0, 236], [0, 0, 508], [1, 0, 351]]"
396547,"[[0, 0, 654], [1, 0, 230]]"
392426,"[[1, 1, 405]]"
389535,"[[0, 3, 475], [1, 0, 1339], [4, 3, 583], [2, 2, 1997], [0, 1, 789], [0, 0, 494], [0, 2, 738], [2, 0, 2238], [5, 2, 1537], [2, 1, 774], [1, 2, 899], [0, 1, 732], [2, 5, 1087], [1, 0, 1309], [2, 0, 1106], [3, 0, 519], [3, 0, 668], [1, 0, 954], [0, 0, 3106], [4, 7, 660], [2, 0, 907], [0, 0, 1560], [1, 0, 907]]"
388266,"[[0, 0, 74], [0, 0, 1065], [0, 0, 1025], [1, 4, 1342], [1, 5, 933], [4, 0, 1748], [0, 2, 987], [1, 0, 2465], [2, 0, 1226], [1, 0, 6382], [0, 0, 3695], [0, 0, 3325]]"
380876,"[[1, 0, 659]]"
379927,"[[1, 0, 1077], [1, 2, 311]]"
365715,"[[6, 4, 3062], [2, 0, 1117], [1, 2, 1167], [1, 15, 863], [1, 0, 2247], [1, 6, 2584], [3, 0, 922], [1, 0, 1360], [1, 1, 1022], [2, 0, 1644], [1, 0, 1701], [4, 1, 698]]"
364799,"[[1, 0, 738], [1, 5, 1470], [0, 0, 430], [0, 0, 1237], [1, 1, 769], [2, 0, 624], [1, 1, 597], [0, 0, 820]]"
364635,"[[3, 1, 4092]]"
360695,"[[0, 0, 7989], [0, 1, 1465], [1, 0, 5912], [1, 1, 1262], [0, 4, 5108], [0, 0, 9831], [1, 1, 10453], [1, 5, 9486], [1, 1, 1891], [1, 5, 4471], [1, 0, 950], [0, 3, 22286], [1, 1, 2322], [1, 4, 3111], [0, 0, 5514], [0, 1, 2474], [0, 1, 1796]]"
359693,"[[0, 0, 12199]]"
357206,"[[0, 1, 336], [3, 0, 2428]]"
354782,"[[2, 2, 216], [4, 0, 811], [4, 4, 2020], [1, 2, 232], [1, 0, 733], [4, 0, 1752], [1, 0, 1891], [3, 0, 833], [2, 4, 560], [1, 6, 519], [2, 0, 1321], [2, 0, 554], [2, 0, 1409]]"
354570,"[[1, 1, 617], [1, 1, 251], [1, 2, 371], [0, 1, 245], [0, 0, 333], [0, 1, 302], [0, 2, 373], [0, 0, 270], [0, 2, 885], [0, 0, 912], [0, 3, 403], [1, 2, 492], [1, 0, 330], [2, 0, 234], [0, 2, 930], [3, 3, 715], [1, 1, 1053], [0, 0, 1141], [1, 0, 199], [1, 3, 2706], [0, 1, 433]]"
353387,"[[0, 1, 891], [5, 0, 673]]"
342535,"[[6, 0, 2383], [1, 0, 2662], [1, 0, 5775], [1, 0, 2312], [0, 2, 1971], [1, 0, 7994], [0, 0, 1325], [2, 0, 2911], [0, 4, 6589], [3, 4, 5293], [1, 0, 1066], [2, 8, 1910], [0, 2, 1752], [1, 3, 684], [0, 3, 1990], [0, 0, 3585], [1, 7, 3214], [0, 1, 3507], [2, 0, 610], [0, 1, 1774], [3, 2, 4570], [0, 0, 1504], [1, 0, 3221], [2, 6, 4074], [1, 0, 531], [0, 7, 2145], [2, 5, 12252], [1, 0, 1430], [1, 2, 1009], [2, 2, 2359], [0, 0, 954], [1, 0, 1999]]"
339655,"[[2, 5, 959], [6, 1, 2264], [1, 0, 218]]"
339209,"[[0, 1, 836], [1, 4, 749], [3, 4, 752], [3, 0, 776], [2, 0, 773], [1, 5, 2427], [1, 1, 1878], [4, 0, 1237], [0, 0, 1172], [0, 1, 643], [3, 8, 2053], [1, 0, 4011], [2, 0, 1162], [1, 0, 2272], [2, 2, 1431], [1, 1, 1265], [3, 3, 1351], [2, 0, 1181], [1, 1, 2898], [1, 6, 1029], [0, 1, 868], [0, 0, 1215], [0, 0, 673], [2, 7, 1276], [0, 2, 1302], [0, 0, 556], [1, 0, 674], [1, 3, 900], [0, 0, 3639], [4, 4, 2949], [1, 0, 1481], [2, 0, 1994], [1, 1, 823], [0, 0, 770], [1, 5, 2124], [0, 3, 2494], [1, 1, 839], [0, 0, 929], [0, 0, 1098], [1, 0, 2388]]"
334748,"[[0, 3, 1078], [-1, 0, 319], [1, 4, 2269]]"
327584,"[[0, 1, 310]]"
327547,"[[0, 1, 560], [1, 4, 13055], [0, 4, 2492]]"
325855,"[[1, 0, 2551], [2, 5, 3641], [0, 5, 225]]"
322656,"[[0, 0, 9522], [0, 0, 2371], [0, 0, 760], [0, 0, 4889], [1, 0, 5505], [1, 0, 934], [0, 0, 7111]]"
318392,"[[0, 0, 3540]]"
317605,"[[2, 2, 1915], [2, 0, 264], [1, 0, 678], [2, 3, 1599], [1, 2, 1588], [1, 2, 4057], [2, 4, 294], [1, 2, 1632]]"
310749,"[[1, 1, 312], [2, 0, 476], [9, 0, 227], [0, 0, 207], [1, 0, 173]]"
305719,"[[4, 12, 9185], [6, 2, 5394], [1, 0, 6909], [3, 1, 2091], [3, 0, 3371], [3, 0, 2751], [-1, 4, 1609], [3, 0, 2343], [0, 0, 3171], [0, 0, 1693], [3, 2, 8185], [3, 0, 6407], [2, 0, 2491], [3, 0, 1840], [0, 0, 7108], [3, 0, 2131], [0, 0, 4089], [0, 0, 2201]]"
302334,"[[0, 5, 466], [0, 0, 185]]"
296854,"[[3, 2, 1191], [6, 1, 3643], [2, 2, 470], [3, 0, 567], [6, 3, 645]]"
292610,"[[3, 0, 529], [0, 2, 415], [1, 1, 2097], [0, 0, 922], [1, 2, 165]]"
291854,"[[1, 0, 744]]"
290168,"[[0, 0, 1511], [0, 1, 873], [1, 0, 3166], [1, 0, 929], [1, 2, 1713], [1, 0, 999], [1, 0, 1562], [1, 1, 3522], [0, 1, 3714], [1, 0, 1532], [1, 2, 1834], [1, 1, 945], [0, 1, 571], [1, 1, 2020], [0, 3, 2042], [0, 0, 2076], [0, 0, 829], [1, 2, 585], [3, 2, 2348], [0, 0, 460], [0, 2, 6079], [0, 0, 1275], [0, 4, 1872], [1, 3, 2326], [0, 2, 1991], [0, 0, 1556], [1, 0, 537], [0, 0, 3934], [1, 0, 325], [0, 0, 3057], [1, 3, 3715], [0, 0, 1682], [0, 0, 512], [3, 0, 505], [1, 0, 703], [0, 2, 436], [0, 2, 1413], [1, 0, 816], [0, 0, 1857], [0, 3, 1763], [1, 0, 1383], [0, 0, 739], [1, 6, 1733], [0, 0, 947], [0, 0, 1340], [1, 0, 1855], [0, 1, 2053], [0, 0, 558], [2, 0, 1509], [0, 0, 1426], [1, 0, 1159], [1, 0, 1916], [0, 0, 1017], [2, 0, 712], [0, 0, 900], [1, 0, 516], [0, 0, 300], [0, 7, 1805], [1, 0, 1574], [1, 0, 1747], [0, 0, 341], [1, 2, 689], [1, 2, 1634], [3, 0, 1658]]"
285313,"[[1, 0, 453]]"
282168,"[[1, 3, 1129], [2, 2, 616], [2, 3, 573], [2, 0, 321], [1, 3, 368], [1, 0, 870], [0, 7, 889]]"
281697,"[[0, 0, 4873], [1, 0, 2855], [1, 0, 1616], [-1, 2, 2523], [2, 6, 3779]]"
281041,"[[-2, 0, 641], [-1, 6, 4508], [2, 0, 2078], [5, 0, 1644], [2, 3, 4518], [0, 0, 891], [3, 3, 4346], [2, 0, 817], [1, 0, 2128], [2, 2, 1824]]"
279702,"[[3, 0, 1013], [2, 1, 751], [1, 0, 1404], [4, 0, 1002], [0, 3, 394], [4, 0, 832], [0, 0, 368], [0, 0, 442], [4, 1, 985], [3, 2, 1272], [2, 3, 1576], [1, 0, 1440], [3, 7, 1228], [1, 0, 1948], [1, 0, 687], [0, 0, 1984], [1, 0, 1674], [0, 0, 2848], [0, 0, 339]]"
275656,"[[1, 8, 521], [4, 3, 1351], [3, 0, 1304]]"
273992,"[[1, 2, 302], [0, 0, 1208], [1, 0, 731], [0, 4, 571], [3, 2, 472], [1, 0, 2692]]"
268218,"[[0, 0, 737], [0, 3, 795], [0, 2, 845], [2, 5, 1156], [0, 0, 1196], [3, 6, 567]]"
266920,"[[1, 0, 689]]"
265476,"[[1, 0, 636]]"
262751,"[[0, 1, 943], [0, 0, 558], [0, 1, 609], [0, 2, 1225], [0, 0, 689], [3, 1, 1202], [0, 4, 1977]]"
255521,"[[3, 0, 360], [1, 0, 559], [0, 3, 1474]]"
255306,"[[2, 0, 3801], [3, 0, 1245], [1, 2, 1785]]"
248099,"[[1, 2, 3747], [1, 0, 348], [1, 2, 658], [0, 0, 1213]]"
245042,"[[1, 0, 1146], [1, 7, 381], [1, 0, 476], [2, 2, 594], [1, 1, 820], [2, 0, 1142], [1, 1, 436]]"
244578,"[[3, 0, 2097], [2, 0, 16179], [0, 1, 3225]]"
242959,"[[1, 0, 1831], [2, 4, 1248], [1, 0, 1282], [1, 0, 1195], [1, 0, 1449], [1, 1, 1371], [1, 0, 1922], [1, 1, 387], [2, 0, 409], [1, 0, 840], [1, 0, 1102], [1, 0, 1688], [2, 1, 942], [0, 0, 499], [2, 0, 696], [1, 0, 2131], [1, 0, 2571]]"
239870,"[[0, 1, 202]]"
237207,"[[2, 1, 925], [1, 0, 1739]]"
231840,"[[1, 2, 1172], [0, 0, 826], [3, 1, 1073], [1, 5, 608]]"
231016,"[[3, 0, 1718]]"
229935,"[[3, 8, 6297], [1, 0, 613], [1, 0, 1711], [1, 3, 1025], [1, 0, 761], [1, 3, 310], [1, 0, 1435], [1, 0, 1736], [1, 0, 833], [0, 0, 186], [1, 0, 1698], [0, 2, 333], [3, 1, 1308], [1, 0, 411], [0, 0, 190], [3, 2, 1306], [1, 1, 667], [2, 0, 1275], [1, 2, 807], [2, 1, 1932], [0, 0, 399], [1, 0, 442], [2, 4, 332], [0, 0, 845], [0, 1, 1090], [0, 0, 636], [1, 0, 279], [0, 1, 391], [0, 0, 685], [0, 0, 1264], [0, 0, 370], [0, 0, 979]]"
227888,"[[2, 1, 581]]"
227216,"[[1, 1, 914], [1, 2, 2318], [1, 1, 2183], [1, 1, 381], [0, 0, 2906]]"
227208,"[[2, 3, 460]]"
227148,"[[0, 5, 1059], [0, 0, 2219], [0, 0, 778], [0, 0, 1161], [0, 0, 2073], [-1, 0, 1541], [1, 0, 1395], [0, 0, 488], [2, 0, 1393], [2, 0, 1011], [0, 0, 560], [1, 0, 1319], [1, 0, 787], [2, 0, 1758], [1, 1, 958], [0, 1, 1254]]"
224861,"[[1, 2, 1570]]"
223978,"[[0, 0, 397]]"
223453,"[[1, 0, 621], [0, 1, 109], [0, 0, 428], [0, 0, 483], [5, 0, 323], [2, 0, 253], [2, 0, 1144]]"
222602,"[[1, 3, 498], [1, 3, 968], [1, 4, 3880]]"
222258,"[[2, 0, 1578], [0, 2, 2260]]"
