reputation,answers
21780,"[[33, 1, 1343]]"
70883,"[[18, 0, 1403], [13, 2, 3569], [11, 0, 1808], [11, 0, 828], [11, 4, 1219]]"
326625,"[[12, 4, 729]]"
883461,"[[11, 4, 332], [11, 0, 399], [212, 1, 596], [58, 3, 772], [11, 0, 435]]"
25772,"[[15, 0, 919]]"
33358,"[[39, 3, 4446], [15, 1, 1394], [77, 2, 586], [13, 0, 956], [29, 0, 805], [12, 0, 1048], [12, 1, 730], [14, 1, 416], [44, 2, 1266], [88, 6, 232], [18, 0, 370], [17, 0, 335], [22, 0, 592], [28, 2, 307], [24, 1, 201], [23, 0, 485], [106, 4, 2335]]"
13379,"[[13, 6, 259]]"
45172,"[[18, 0, 636]]"
45441,"[[11, 1, 1482]]"
1094,"[[89, 8, 291]]"
59357,"[[12, 2, 90]]"
5866,"[[13, 0, 2009]]"
99889,"[[17, 0, 966]]"
26475,"[[19, 1, 1675]]"
42464,"[[40, 0, 847]]"
4198,"[[13, 0, 510], [21, 3, 1354]]"
19489,"[[37, 1, 734], [163, 3, 1168], [15, 0, 2829], [114, 0, 5788], [21, 1, 1048], [13, 0, 790], [40, 1, 1228]]"
6236,"[[42, 2, 672]]"
183461,"[[15, 2, 981]]"
16126,"[[27, 1, 277], [38, 1, 89]]"
2066,"[[12, 1, 1988]]"
356912,"[[11, 0, 1811], [11, 1, 3759], [17, 1, 9772], [14, 0, 2220]]"
3305,"[[18, 0, 637]]"
40162,"[[17, 4, 338]]"
94395,"[[14, 2, 166]]"
27692,"[[13, 4, 273]]"
23823,"[[36, 1, 3257], [53, 3, 5632]]"
12901,"[[18, 2, 1134]]"
87246,"[[15, 1, 1312]]"
39483,"[[17, 0, 406]]"
66403,"[[199, 16, 4266], [11, 5, 1544]]"
712748,"[[11, 7, 892]]"
10767,"[[15, 0, 1756]]"
119853,"[[18, 2, 5687], [13, 10, 9245], [15, 0, 3350], [171, 8, 5055]]"
10643,"[[16, 4, 653]]"
13412,"[[12, 0, 1367]]"
115238,"[[63, 4, 1832], [54, 0, 1894], [90, 1, 1988], [54, 5, 4978]]"
32351,"[[17, 3, 3418]]"
46142,"[[20, 3, 829]]"
24221,"[[57, 1, 405], [13, 1, 970], [13, 1, 3113]]"
48529,"[[11, 0, 1240], [31, 9, 3446]]"
9111,"[[30, 8, 410]]"
36181,"[[12, 2, 187]]"
1370482,"[[11, 7, 957], [11, 0, 725], [21, 8, 1378], [13, 3, 874], [91, 3, 1678], [25, 1, 984], [14, 7, 1310], [11, 0, 675], [13, 1, 827], [11, 11, 1418], [12, 1, 1615], [15, 8, 1743], [11, 4, 561], [14, 2, 856], [11, 0, 157], [40, 4, 1694], [12, 4, 1950], [13, 7, 999], [19, 4, 2154], [12, 0, 1647], [13, 3, 723]]"
15546,"[[17, 5, 1024], [11, 0, 325]]"
8232,"[[27, 2, 393]]"
997801,"[[17, 0, 990], [19, 4, 791], [12, 1, 612], [11, 0, 752], [30, 0, 603], [13, 5, 771], [17, 0, 1512]]"
69965,"[[14, 2, 701]]"
38976,"[[16, 8, 1588], [15, 6, 763]]"
15496,"[[13, 0, 362]]"
81453,"[[23, 18, 1732]]"
3410,"[[33, 5, 933]]"
68422,"[[11, 2, 891]]"
6617,"[[11, 4, 3193]]"
1699,"[[34, 4, 498]]"
1428,"[[64, 3, 548]]"
2120,"[[18, 2, 1326], [13, 1, 431], [14, 1, 2353]]"
3260,"[[12, 2, 557]]"
517125,"[[17, 6, 1899], [18, 4, 810], [48, 6, 3269]]"
3871,"[[16, 4, 228]]"
9564,"[[22, 4, 774]]"
16518,"[[13, 1, 543], [25, 1, 345]]"
4697,"[[17, 5, 2145]]"
10479,"[[24, 1, 215]]"
33697,"[[14, 0, 1051], [12, 1, 383]]"
1171302,"[[20, 3, 1344], [15, 5, 1012], [14, 3, 4368], [107, 5, 3208], [14, 2, 576], [18, 6, 1219], [12, 2, 1054], [24, 3, 4274], [57, 2, 2090], [97, 2, 4528], [14, 4, 750], [17, 0, 3185], [14, 0, 3899], [89, 1, 4950], [33, 5, 2478], [14, 1, 1396], [15, 6, 3111], [12, 4, 10137], [11, 1, 1855], [11, 0, 8820], [95, 0, 470], [24, 8, 11266], [23, 3, 5881], [24, 15, 401], [16, 1, 486], [27, 2, 7278], [21, 2, 5550], [13, 0, 10710], [15, 18, 2684], [18, 2, 402], [13, 0, 1714], [25, 0, 687], [25, 6, 3692], [45, 2, 2164], [88, 5, 2733], [11, 6, 1430], [28, 0, 1357], [41, 3, 1179], [31, 5, 1683], [13, 0, 1143], [11, 2, 1920], [27, 4, 1388], [23, 0, 3333], [13, 5, 3019], [14, 2, 939], [12, 0, 35188], [25, 2, 408], [27, 0, 14412], [12, 0, 4602], [30, 1, 1171], [19, 3, 810], [33, 5, 1039], [13, 0, 9287], [61, 1, 3635], [12, 6, 849], [16, 0, 1054], [12, 0, 4206], [14, 2, 570], [47, 2, 782], [16, 2, 1681], [39, 10, 3242], [57, 0, 1049], [13, 11, 2869], [11, 3, 1032], [16, 4, 2566], [16, 5, 340], [13, 1, 734], [11, 5, 992], [13, 1, 3073], [24, 4, 1946], [26, 6, 1576], [18, 0, 1330], [14, 0, 795], [55, 9, 781], [23, 2, 1634], [50, 11, 4273], [38, 9, 3580], [27, 1, 679], [16, 0, 3652], [17, 9, 1481], [29, 4, 1312], [15, 0, 8195], [71, 1, 1056]]"
19644,"[[18, 5, 1368]]"
329852,"[[12, 5, 552]]"
8016,"[[14, 5, 771]]"
41088,"[[31, 3, 710]]"
2503,"[[15, 0, 1061]]"
138156,"[[13, 1, 484]]"
133704,"[[93, 6, 943]]"
267887,"[[17, 5, 2996], [13, 2, 648], [12, 5, 781]]"
354044,"[[12, 3, 240], [49, 4, 187], [22, 0, 554]]"
114579,"[[19, 0, 783], [12, 3, 530], [12, 0, 678]]"
61689,"[[34, 1, 524]]"
31281,"[[22, 6, 5110], [11, 1, 3063], [15, 0, 1649], [29, 5, 851], [58, 0, 2667], [21, 0, 876]]"
169018,"[[31, 2, 966], [14, 0, 244], [31, 4, 813], [12, 6, 1934], [12, 2, 1360], [23, 1, 2676], [22, 3, 700]]"
146349,"[[11, 5, 789], [12, 1, 5651]]"
39415,"[[37, 10, 554], [15, 0, 2177]]"
831624,"[[12, 0, 2001], [62, 2, 5105], [12, 6, 3548], [34, 6, 3659]]"
6427,"[[58, 3, 497]]"
74833,"[[23, 0, 3060]]"
15680,"[[52, 5, 360]]"
21742,"[[19, 0, 211]]"
25056,"[[28, 1, 3848]]"
3468,"[[12, 0, 386]]"
16414,"[[22, 3, 1023]]"
5467,"[[20, 0, 279]]"
87756,"[[14, 0, 701]]"
26207,"[[18, 0, 560], [13, 2, 1197]]"
20733,"[[14, 3, 755]]"
53422,"[[31, 6, 208], [12, 0, 1244]]"
62220,"[[47, 1, 852]]"
19148,"[[12, 0, 428], [20, 5, 224]]"
82855,"[[97, 4, 9253], [17, 2, 146], [40, 1, 154], [11, 1, 1463], [22, 2, 155]]"
1962,"[[99, 6, 295], [12, 1, 339]]"
3335,"[[11, 2, 4479]]"
31854,"[[46, 5, 351]]"
50299,"[[13, 6, 2364]]"
35854,"[[81, 4, 495], [15, 2, 3174]]"
2245,"[[11, 3, 1969], [13, 3, 965]]"
341195,"[[11, 5, 11980], [22, 0, 8794], [13, 4, 4011], [20, 2, 3568], [19, 0, 2968], [11, 1, 22598], [13, 0, 11459], [12, 0, 1758], [13, 4, 1553], [23, 0, 7791], [12, 0, 2025], [12, 1, 6278], [13, 0, 18570], [46, 0, 9332]]"
18298,"[[17, 2, 70], [36, 7, 610]]"
40601,"[[16, 1, 141], [60, 2, 695], [47, 3, 130]]"
85886,"[[23, 1, 670], [17, 0, 698]]"
78374,"[[14, 0, 650]]"
38360,"[[11, 0, 1343]]"
6444,"[[21, 1, 374]]"
1326,"[[17, 2, 282]]"
28269,"[[21, 6, 1591], [16, 1, 362]]"
115570,"[[13, 0, 1391]]"
5055,"[[18, 1, 329]]"
17960,"[[17, 2, 7312]]"
1723,"[[32, 10, 1085]]"
110576,"[[22, 3, 971]]"
12548,"[[48, 0, 1517], [14, 0, 595]]"
21768,"[[34, 4, 2344]]"
1276,"[[21, 1, 1788]]"
417591,"[[25, 3, 944], [24, 0, 687], [11, 0, 1077], [12, 0, 1059], [16, 4, 797], [15, 4, 2102], [12, 2, 2424], [12, 1, 1257], [11, 0, 3503], [11, 0, 835], [13, 1, 3119], [23, 0, 3079], [12, 1, 1189], [11, 1, 1419], [12, 0, 1707], [25, 0, 1447]]"
13440,"[[35, 17, 790], [12, 1, 333]]"
339174,"[[19, 0, 327], [16, 5, 503], [12, 2, 1329], [18, 9, 1708], [30, 2, 1168], [11, 0, 960], [11, 0, 1677], [13, 0, 2874], [11, 5, 8124]]"
57149,"[[18, 1, 956], [12, 1, 283]]"
133188,"[[12, 1, 2179]]"
8673,"[[31, 0, 938], [85, 3, 475]]"
237032,"[[11, 1, 1271], [22, 1, 2087], [12, 2, 1724], [12, 0, 1308]]"
3773,"[[23, 1, 84]]"
18047,"[[11, 2, 320]]"
58836,"[[13, 0, 4120], [16, 0, 2341]]"
40829,"[[22, 0, 223]]"
11445,"[[27, 2, 1807]]"
28420,"[[16, 0, 720]]"
67462,"[[21, 1, 6746]]"
49173,"[[18, 1, 1757], [13, 0, 2925], [12, 4, 1503]]"
2102,"[[14, 4, 356]]"
1717,"[[12, 1, 276]]"
48252,"[[168, 4, 1800], [13, 10, 1493], [16, 3, 1741], [11, 10, 1221], [16, 0, 678], [26, 3, 1249], [13, 7, 1028]]"
62591,"[[20, 5, 2414]]"
18294,"[[13, 0, 1922], [19, 2, 693]]"
4788,"[[25, 2, 1584]]"
527151,"[[12, 0, 869], [13, 2, 2038], [11, 0, 2888], [11, 2, 1910], [12, 4, 877], [11, 0, 1474], [15, 2, 10109], [11, 0, 1487], [15, 2, 7152], [11, 0, 523], [11, 0, 589], [11, 1, 2307], [11, 2, 1352], [13, 0, 2819], [12, 7, 1896]]"
4069,"[[14, 1, 328], [20, 0, 389], [11, 1, 2130], [17, 6, 398]]"
74353,"[[16, 1, 460], [12, 4, 2791], [28, 1, 2172]]"
50943,"[[20, 7, 88], [11, 2, 689], [21, 1, 365]]"
28377,"[[41, 8, 1476]]"
5016,"[[22, 3, 1638]]"
25111,"[[20, 4, 1152]]"
87826,"[[31, 0, 351], [29, 3, 1051], [16, 6, 462], [12, 0, 699], [11, 1, 1021]]"
39938,"[[30, 6, 982], [15, 1, 554]]"
3210,"[[11, 1, 915]]"
162904,"[[14, 1, 3072]]"
16307,"[[13, 0, 144]]"
51733,"[[12, 1, 7232]]"
45040,"[[13, 4, 273]]"
188929,"[[31, 3, 633]]"
6870,"[[18, 3, 249]]"
35565,"[[20, 0, 1411]]"
139927,"[[12, 3, 156], [38, 11, 193], [11, 7, 1192], [14, 2, 986], [16, 0, 738], [19, 0, 331], [14, 2, 1061], [17, 0, 487], [15, 8, 266], [13, 0, 639], [13, 0, 689]]"
5465,"[[32, 4, 11328]]"
65798,"[[11, 0, 1234], [17, 0, 1060]]"
256293,"[[16, 3, 925], [11, 0, 3355], [14, 4, 552], [11, 1, 1847], [42, 7, 2425], [14, 0, 693], [25, 0, 324]]"
17866,"[[16, 3, 2126], [13, 1, 2749], [50, 4, 99], [20, 4, 317]]"
60245,"[[21, 3, 1048]]"
170143,"[[18, 0, 538], [13, 0, 439], [12, 2, 2728], [15, 0, 1458], [75, 1, 2707], [13, 6, 1769], [145, 3, 2347], [43, 3, 968], [14, 1, 1251], [16, 2, 1877]]"
17831,"[[14, 2, 2011]]"
1754,"[[13, 2, 192]]"
39832,"[[11, 0, 4455], [47, 7, 6756], [18, 7, 9577]]"
143317,"[[12, 4, 523]]"
3057,"[[16, 0, 7615]]"
11660,"[[26, 1, 2070]]"
199596,"[[30, 4, 1348], [16, 0, 1250], [15, 4, 1639]]"
244448,"[[11, 1, 7156]]"
86974,"[[12, 0, 333]]"
1690,"[[11, 0, 2869]]"
19152,"[[34, 5, 393], [11, 1, 412], [13, 3, 263]]"
26772,"[[49, 7, 1220]]"
75308,"[[11, 2, 1225]]"
273679,"[[11, 5, 3451], [11, 2, 252], [11, 1, 3056], [13, 1, 1615], [27, 1, 2437], [13, 0, 441], [14, 3, 5407], [23, 1, 2027]]"
6665,"[[22, 5, 589]]"
17045,"[[12, 1, 175]]"
37660,"[[102, 3, 215], [24, 2, 87]]"
23792,"[[16, 4, 464], [26, 2, 210]]"
296412,"[[12, 3, 479], [20, 12, 554], [13, 4, 6917], [103, 18, 1911], [21, 2, 932], [15, 0, 3497], [12, 1, 1926], [17, 0, 2931]]"
6880,"[[11, 3, 415]]"
20309,"[[12, 5, 524]]"
14757,"[[28, 4, 1088], [13, 3, 1149]]"
54636,"[[24, 1, 1389], [13, 2, 696], [11, 0, 460], [19, 1, 613]]"
8648,"[[27, 0, 278]]"
28498,"[[39, 5, 2003], [14, 1, 2718], [11, 0, 2153]]"
56979,"[[23, 3, 1925], [98, 27, 1384], [28, 9, 930], [37, 2, 969], [13, 0, 910], [11, 3, 911], [35, 3, 683], [73, 11, 836], [19, 8, 1671], [41, 6, 623], [13, 0, 485], [16, 0, 1428], [50, 9, 447], [11, 0, 625]]"
27277,"[[25, 0, 209]]"
7273,"[[34, 3, 949]]"
1250,"[[107, 11, 1295]]"
16219,"[[11, 2, 837]]"
4326,"[[17, 3, 523]]"
16772,"[[23, 3, 972]]"
25607,"[[16, 1, 1087]]"
9433,"[[48, 2, 801], [12, 3, 574]]"
3793,"[[17, 0, 470]]"
231593,"[[13, 2, 1045]]"
29793,"[[11, 0, 223]]"
25801,"[[17, 1, 432]]"
8394,"[[13, 0, 757]]"
4962,"[[74, 4, 593]]"
56670,"[[32, 2, 1234]]"
360011,"[[16, 0, 630], [12, 4, 3089]]"
41234,"[[12, 1, 757]]"
1408,"[[11, 0, 1174]]"
1358,"[[15, 1, 1596]]"
51205,"[[12, 0, 623], [14, 0, 522], [25, 2, 189], [31, 4, 1500], [28, 1, 1048], [18, 8, 179], [13, 0, 1267], [65, 8, 741]]"
12241,"[[29, 2, 1521]]"
364385,"[[11, 3, 5884], [32, 4, 6389], [23, 3, 1444], [17, 2, 522], [18, 4, 2111], [51, 6, 539], [18, 0, 1839], [11, 1, 1405], [13, 2, 2398]]"
26185,"[[12, 0, 63]]"
48899,"[[11, 0, 376]]"
204179,"[[12, 0, 4173], [14, 8, 967]]"
1315,"[[16, 0, 637]]"
10017,"[[11, 0, 2773]]"
5140,"[[21, 2, 556]]"
102266,"[[19, 6, 709]]"
282600,"[[12, 5, 2534]]"
27016,"[[13, 0, 771], [12, 0, 921]]"
32322,"[[15, 1, 299], [11, 1, 2497], [30, 0, 5419], [14, 0, 1622], [17, 0, 1315]]"
27966,"[[14, 0, 1430]]"
31223,"[[16, 7, 471]]"
997854,"[[17, 1, 1367], [11, 3, 10568], [15, 1, 5470], [35, 0, 4287], [12, 3, 3920], [36, 0, 4549]]"
38807,"[[11, 0, 4470]]"
91483,"[[42, 7, 400]]"
2144,"[[149, 7, 208]]"
2957,"[[11, 1, 299]]"
62746,"[[18, 6, 910], [77, 0, 202]]"
229301,"[[15, 1, 1092]]"
78773,"[[29, 0, 585], [39, 0, 2028], [14, 0, 328], [35, 2, 1022]]"
96362,"[[48, 3, 178], [18, 0, 525], [16, 0, 252]]"
9278,"[[12, 1, 398]]"
32909,"[[11, 5, 129], [12, 0, 1899]]"
4266,"[[11, 4, 844]]"
17215,"[[14, 0, 1568], [41, 4, 381]]"
2682,"[[11, 2, 782]]"
100852,"[[19, 2, 470], [31, 1, 919], [134, 8, 1828], [34, 4, 911], [27, 4, 2555], [12, 1, 1193], [12, 0, 696]]"
11049,"[[18, 0, 645]]"
12430,"[[18, 0, 360]]"
2977,"[[32, 0, 934]]"
7903,"[[14, 0, 2009]]"
49857,"[[33, 2, 1215]]"
112167,"[[11, 1, 2663], [14, 0, 1389]]"
19475,"[[19, 1, 279], [19, 3, 1235], [15, 0, 1012], [15, 0, 3133]]"
6122,"[[29, 3, 179]]"
3322,"[[21, 1, 172]]"
2263,"[[18, 2, 549]]"
62668,"[[17, 7, 1238]]"
2426,"[[85, 7, 173]]"
23526,"[[12, 0, 310]]"
147261,"[[57, 6, 1667], [16, 0, 725], [23, 2, 202], [45, 2, 812], [19, 5, 1311]]"
2692,"[[37, 1, 404], [55, 3, 914], [24, 2, 980], [16, 1, 970]]"
1712,"[[42, 2, 239]]"
31211,"[[40, 0, 847]]"
146873,"[[172, 6, 1324], [14, 6, 262], [12, 1, 503], [12, 0, 2246]]"
2553,"[[15, 2, 1399]]"
1325,"[[12, 0, 265]]"
49515,"[[64, 0, 3036], [11, 0, 1579]]"
12996,"[[11, 0, 1188], [35, 3, 291], [14, 0, 479]]"
20563,"[[16, 0, 2159], [34, 1, 834], [11, 1, 2532], [18, 11, 3530], [15, 10, 8025], [12, 9, 7127], [21, 7, 1601]]"
682289,"[[11, 0, 2224], [11, 1, 1577], [16, 2, 1493], [15, 2, 832], [85, 2, 1716], [13, 2, 2290], [26, 3, 2330], [11, 4, 1760]]"
197483,"[[12, 6, 619]]"
145729,"[[18, 0, 334]]"
5918,"[[27, 5, 321]]"
12020,"[[17, 3, 1487]]"
30176,"[[25, 2, 468]]"
273017,"[[15, 4, 1710]]"
6541,"[[34, 4, 1115]]"
110395,"[[37, 2, 730], [12, 0, 2019], [22, 4, 6870], [38, 3, 1849], [22, 2, 2488], [17, 3, 1606], [18, 7, 1501], [12, 0, 1361], [43, 1, 784], [35, 4, 888], [40, 0, 2316]]"
94747,"[[11, 15, 1921], [12, 8, 555]]"
1283,"[[106, 4, 238]]"
63423,"[[11, 1, 1614]]"
3412,"[[13, 6, 3534]]"
1240,"[[13, 0, 168]]"
29351,"[[11, 2, 743]]"
186325,"[[14, 2, 1040]]"
95487,"[[16, 2, 5049], [12, 2, 2687], [15, 3, 761], [13, 3, 1668]]"
6248,"[[19, 2, 4673]]"
66371,"[[15, 0, 1552], [13, 4, 350]]"
21249,"[[22, 3, 970], [30, 2, 380]]"
51317,"[[19, 2, 1063]]"
25330,"[[11, 1, 944]]"
26048,"[[13, 0, 1024], [19, 3, 804]]"
1447,"[[34, 3, 128]]"
111596,"[[25, 1, 6292], [11, 3, 2319], [13, 0, 947], [11, 3, 1927], [11, 1, 4029], [38, 3, 1280], [88, 10, 756], [17, 1, 4153], [29, 14, 8069], [20, 0, 1736], [26, 3, 1556]]"
116133,"[[21, 2, 12835], [42, 7, 2453]]"
26220,"[[21, 4, 387]]"
29358,"[[11, 1, 2394], [32, 3, 1376], [39, 1, 921], [30, 3, 175], [77, 1, 1823], [12, 0, 1644], [24, 0, 854], [17, 2, 2015], [13, 0, 1327], [18, 4, 690]]"
19944,"[[33, 6, 956], [191, 5, 1447]]"
5015,"[[20, 0, 621]]"
1528,"[[31, 2, 530]]"
25623,"[[61, 1, 2678]]"
276433,"[[18, 9, 2623], [18, 0, 3136], [26, 5, 1305], [11, 3, 3957], [13, 0, 4708], [11, 2, 1192], [11, 1, 3423]]"
247464,"[[11, 1, 1408], [20, 8, 844], [34, 6, 1037], [12, 2, 592], [47, 5, 656], [31, 6, 1317]]"
16935,"[[14, 0, 462]]"
1560,"[[13, 1, 246]]"
6098,"[[11, 1, 2751]]"
379637,"[[16, 0, 725], [13, 0, 275], [14, 1, 275], [14, 1, 338], [166, 7, 390], [15, 3, 623], [26, 0, 284], [14, 0, 344], [13, 6, 278]]"
4235,"[[16, 2, 1235]]"
100712,"[[11, 2, 1432], [12, 0, 1807], [13, 2, 4300]]"
1898,"[[12, 3, 108]]"
68713,"[[14, 4, 151]]"
45839,"[[56, 11, 2215]]"
287740,"[[174, 6, 1315], [39, 2, 541], [13, 0, 1352], [23, 0, 630]]"
35447,"[[45, 7, 2510], [131, 6, 2353]]"
10349,"[[34, 5, 255]]"
969391,"[[13, 22, 862], [20, 9, 1337], [25, 0, 529], [49, 7, 1096], [101, 1, 1091], [57, 12, 606], [13, 0, 1393], [14, 0, 1193], [390, 13, 1847], [31, 7, 1469], [13, 6, 1058], [73, 5, 556], [17, 7, 685], [21, 2, 1137], [12, 1, 1260], [47, 1, 255], [22, 3, 1155]]"
23074,"[[27, 0, 891], [26, 1, 1285], [49, 2, 1547]]"
32702,"[[14, 0, 624], [11, 0, 122], [25, 1, 1682], [11, 1, 440], [11, 0, 481]]"
6443,"[[11, 0, 589]]"
211483,"[[11, 3, 793], [13, 0, 2838], [11, 0, 1151], [22, 2, 11190], [14, 5, 2166], [40, 3, 826], [14, 1, 2680], [34, 2, 2400]]"
4442,"[[22, 5, 431]]"
220889,"[[12, 1, 1662], [13, 1, 3600], [58, 3, 2467], [38, 10, 6361], [13, 0, 1626]]"
43647,"[[29, 2, 856]]"
46610,"[[12, 1, 4643], [23, 2, 605], [47, 1, 1185]]"
11457,"[[11, 0, 725]]"
3945,"[[30, 1, 417]]"
1287,"[[113, 6, 786]]"
3081,"[[11, 0, 1146], [83, 10, 9073]]"
57809,"[[88, 14, 16981]]"
5639,"[[16, 1, 726], [13, 0, 342]]"
37418,"[[13, 5, 2329], [12, 1, 4000]]"
3949,"[[15, 5, 7702]]"
353144,"[[13, 0, 2016], [11, 1, 1424], [22, 4, 923], [37, 4, 1801]]"
13646,"[[52, 5, 639]]"
32921,"[[13, 1, 489]]"
39112,"[[18, 1, 121], [11, 1, 372]]"
1036,"[[18, 6, 7211]]"
3344,"[[16, 3, 3422], [14, 0, 1615], [146, 4, 1706]]"
75807,"[[30, 3, 15184], [19, 0, 1578], [12, 7, 891], [13, 0, 5100]]"
66449,"[[14, 0, 886]]"
2581,"[[21, 0, 255]]"
38124,"[[15, 0, 1024]]"
351765,"[[21, 1, 1349], [16, 0, 1537], [16, 0, 735], [30, 0, 1132], [16, 1, 1605], [13, 0, 857], [13, 7, 3054], [11, 4, 4663], [20, 1, 1252], [20, 0, 3008], [16, 0, 424], [12, 0, 5601], [22, 8, 1721], [17, 4, 783], [15, 3, 1882], [19, 0, 838], [30, 13, 3661], [12, 0, 556]]"
1529,"[[16, 2, 1084]]"
7391,"[[17, 3, 1420]]"
4661,"[[18, 0, 395]]"
993037,"[[42, 0, 2822], [16, 0, 4724], [20, 0, 2108], [15, 3, 1733], [13, 1, 481], [101, 1, 9820], [12, 2, 721], [11, 0, 2063], [14, 1, 992], [14, 3, 2949], [12, 1, 579], [12, 3, 378], [14, 0, 939], [18, 0, 1979], [75, 2, 11862], [16, 4, 1043], [55, 6, 747], [36, 5, 449], [18, 0, 702], [18, 2, 1536], [24, 3, 3418], [14, 2, 1410], [11, 2, 8276]]"
4838,"[[16, 0, 452], [37, 4, 490], [12, 2, 1289]]"
60843,"[[31, 9, 1310]]"
5482,"[[15, 3, 4218]]"
90763,"[[11, 1, 10799], [11, 10, 14840]]"
35939,"[[38, 7, 1740], [22, 0, 2581]]"
7864,"[[15, 0, 573]]"
11512,"[[11, 1, 1586]]"
26917,"[[12, 0, 17052]]"
8797,"[[58, 3, 2216], [26, 3, 1365]]"
8957,"[[13, 1, 321]]"
11109,"[[11, 2, 914]]"
54576,"[[27, 0, 531]]"
5217,"[[12, 9, 763]]"
2952,"[[35, 3, 266]]"
1667,"[[12, 1, 602]]"
23161,"[[11, 2, 715], [30, 2, 1190]]"
5649,"[[28, 0, 1230], [34, 2, 591]]"
213967,"[[29, 3, 2202], [13, 2, 612], [18, 1, 987], [18, 2, 577]]"
1120,"[[16, 0, 157]]"
3725,"[[55, 6, 411], [11, 0, 833]]"
2814,"[[166, 10, 971]]"
1059812,"[[21, 1, 1990], [35, 2, 2081], [11, 0, 1585], [19, 0, 2658], [24, 0, 8959], [11, 0, 2574]]"
83031,"[[26, 6, 2032], [11, 0, 5017], [15, 3, 1587], [32, 8, 5420], [16, 1, 513], [11, 0, 1552]]"
1312,"[[15, 3, 832]]"
133794,"[[13, 0, 2827], [23, 0, 1958], [21, 3, 2248], [15, 1, 4232], [12, 3, 1915], [27, 12, 1503], [13, 0, 556], [11, 0, 433], [148, 8, 8250]]"
4956,"[[11, 4, 1001], [17, 0, 1139]]"
20745,"[[22, 0, 477]]"
339710,"[[34, 5, 1424], [12, 0, 1857], [25, 1, 1705], [24, 0, 1995], [53, 0, 3504], [88, 5, 1244], [28, 0, 2545], [13, 5, 1026], [164, 2, 1675], [20, 2, 2343], [175, 7, 2491], [23, 2, 240], [12, 0, 643], [27, 2, 574], [23, 9, 1809], [24, 3, 510], [17, 1, 473]]"
6711,"[[12, 0, 5194]]"
4461,"[[16, 0, 6235]]"
4153,"[[14, 0, 1850], [14, 3, 1130]]"
43070,"[[31, 0, 841]]"
9821,"[[23, 3, 746]]"
